Medio Cultivo;C�d-lab;Cepa;Victoria;Proyecto;Pigmentaci�n;Lecitinasa;Ureasa;Lipasa;Amilasa;Proteasa;Catalasa;Celulasa;Fosfatasa;AIA;5 �C;37 �C;25 �C;AMP;AMC/AML;FEP;CTX;CXM;CAZ;ETP;I/R;CN;AK;K;S;NA/ND;C;AZM;TE;DO;AM E.coli;AM S.aureus;Metabolomica;16S;Nicol�s;Gram;morfologia;Genomas;Origen;;;;;;;;;;
LB/3;A6;SBPE 2;X;;Amarillo;+;+;+;+;-;+;++;-;-;+;+;+;;;;;;;;;;;;;;;;;;-;-;si;;;+;Bacilos;;Lago pehoe;;;;;;;;;;
CM;C8;SBPE 1;X;;Blanco;+;-;+;+;-;++;+;+;+;-;+;+;R;R;S;I;R;I;S;S;S;S;S;R;S;R;R;R;R;-;+;;Pseudomonas sp.;MDR;+;Bacilos;;Lago pehoe;;;;;;;;;;
LB/3;A10;SBLG 6;X;;Blanco;-;+;-;+;-;+;-;-;-;+;+;+;;;;;;;;;;;;;;;;;;-;-;si;;;-;Bacilos;;Lago Grey;;;;;;;;;;
LB/3;A9;SBLG 5;X;;Morado;+;-;+;+;-;+;++;+;+;+;+;+;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;-;-;si;Janthinobacterium sp.;MDR;-;Bacilos;;Lago Grey;;;;;;;;;;
CM;C12;SBLG 4;X;;Blanco;+;-;+;-;-;++;++;+;;-;-;+;R;R;S;R;R;S;;S;S;S;S;R;S;R;R;R;R;-;-;;Pseudomonas sp.;;+;Bacilos;;Lago Grey;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CM;C11;SBLG 3;X;;Blanco;-;-;-;+;-;++;-;+;+++;+;-;+;R;R;S;S;R;S;S;S;S;S;S;R;S;S;R;I;S;-;-;;Pseudomonas sp.;MDR;+;Bacilos;;Lago Grey;;;;;;;;;;
CM;;SBLG 2;X;;;;;;;;;;;;;;-;I;S;R;I;S;R;R;S;R;R;R;R;;I;R;I;S;-;-;;Microbacterium sp.;MDR;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LB/3;A22;SBLB 8;X;Lechuga;Blanco;+;-;+;+;+;+;+++;++;+++;+;+;+;R;R;S;I;R;I;I;S;S;S;S;I;I;R;R;R;S;-;+;;Pseudomonas sp.;MDR;-;Bacilos;;Lago Maravilloso;;;;;;;;;;
